id,name,code,municipality_id:id
par_23deenero,23 de Enero,1,mu_libertador_dis
par_5dejulio,5 de Julio,2,mu_caroni
par_abejales,Abejales,3,mu_libertador_tac
par_acarigua,Acarigua,4,mu_paez_por
par_acequias,Acequias,5,mu_campoelias
par_achaguas,Achaguas,6,mu_achaguas
par_acurigua,Acurigua,7,mu_colina
par_adaure,Adaure,8,mu_falcon
par_adicora,Adicora,9,mu_falcon
par_adrian,Adrian,10,mu_marcano
par_aguablanca,Agua Blanca,11,mu_aguablanca
par_aguacaliente,Agua Caliente,12,mu_miranda_tru
par_aguaclara,Agua Clara,13,mu_democracia
par_agualarga,Agua Larga,14,mu_federacion
par_agualinda,Agua Linda,15,mu_jacura
par_aguasalada,Agua Salada,16,mu_angosturadelorinoco
par_aguasanta,Agua Santa,17,mu_miranda_tru
par_aguaviva,Agua Viva,18,mu_palavecino
par_aguascalientes,Aguas Calientes,19,mu_diegoibarra
par_aguasay,Aguasay,20,mu_aguasay
par_aguedofelipealvarado,Aguedo Felipe Alvarado,21,mu_iribarren
par_aguirre,Aguirre,22,mu_maneiro
par_agustincodazzi,Agustin Codazzi,23,mu_franciscojavierpulgar
par_albarico,Albarico,24,mu_sanfelipe
par_albertoadriani,Alberto Adriani,25,mu_fernandezfeo
par_alfredoarvelolarriva,Alfredo Arvelo Larriva,26,mu_barinas
par_alfredopachecomiranda,Alfredo Pacheco Miranda,27,mu_santiagomarino_ara
par_almiranteluisbrionmanoa,Almirante Luis Brion Manoa,28,mu_antoniodiaz
par_alonsodeojeda,Alonso De Ojeda,29,mu_lagunillas
par_altaguajira,Alta Guajira,30,mu_guajira
par_altagracia_ced,Altagracia,31,mu_cedeno_bol
par_altagracia_lib,Altagracia,32,mu_libertador_dis
par_altagracia_tor,Altagracia,33,mu_torres
par_altagracia_suc,Altagracia,34,mu_sucre_suc
par_altagracia_mir,Altagracia,35,mu_miranda_zul
par_altagraciadelamontana,Altagracia De La Montana,36,mu_guaicaipuro
par_altagraciadeorituco,Altagracia De Orituco,37,mu_josetadeomonagas
par_altamiradecaceres,Altamira de Caceres,38,mu_bolivar_bar
par_altobarinas,Alto Barinas,39,mu_barinas
par_altodelosgodos,Alto De Los Godos,40,mu_maturin
par_altoventuari,Alto Ventuari,41,mu_autonomomanapiare
par_ambrosio,Ambrosio,42,mu_cabimas
par_amenodororangellamus,Amenodoro Rangel Lamus,43,mu_cardenas
par_anamariacampos,Ana Maria Campos,44,mu_miranda_zul
par_anasoto,Ana Soto,45,mu_iribarren
par_anaco,Anaco,46,mu_anaco
par_andresbello_ant,Andres Bello,47,mu_antoniojosedesucre
par_andresbello_lac,Andres Bello,48,mu_lacanadadeurdaneta
par_andreseloyblanco_gir,Andres Eloy Blanco,49,mu_girardot_ara
par_andreseloyblanco_pia,Andres Eloy Blanco,50,mu_piar_bol
par_andresesloyblanco_mir,Andres Eloy Blanco,51,mu_miranda_mer
par_andreslinares,Andres Linares,52,mu_trujillo
par_antimano,Antimano,53,mu_libertador_dis
par_antolindelcampo,Antolin Del Campo,54,mu_antolindelcampo
par_antolintovaranquino,Antolin Tovar Anquino,55,mu_sangenarodeboconoito
par_antonioborjasromero,Antonio Borjas Romero,56,mu_maracaibo
par_antoniodiaz,Antonio Diaz,57,mu_torres
par_antoniojosedesucre_aris,Antonio Jose De Sucre,58,mu_arismendi_suc
par_antoniojosedesucre,Antonio Jose De Sucre,59,mu_josefelipemarquezcanizales
par_antonionicolasbriceno,Antonio Nicolas Briceno,60,mu_sanrafaeldecarvajal
par_antoniospinettidini,Antonio Spinetti Dini,61,mu_libertador_mer
par_anzoategui,Anzoategui,62,mu_moran
par_aparicio,Aparicio,63,mu_piar_bol
par_aparicion,Aparicion,64,mu_ospino
par_apurito,Apurito,65,mu_achaguas
par_aracua,Aracua,66,mu_bolivar_fal
par_aragua,Aragua,67,mu_piar_mon
par_araguadebarcelona,Aragua De Barcelona,68,mu_aragua
par_araguaney,Araguaney,69,mu_andresbello_tru
par_araguita,Araguita,70,mu_acevedo
par_aramendi,Aramendi,71,mu_paez_apu
par_arapuey,Arapuey,72,mu_juliocesarsalas
par_araure,Araure,73,mu_araure
par_araurima,Araurima,74,mu_jacura
par_araya,Araya,75,mu_cruzsalmeronacosta
par_arenas,Arenas,76,mu_montes
par_areo,Areo,77,mu_cedeno_mon
par_arevaloaponte,Arevalo Aponte,78,mu_santiagomarino_ara
par_arevalogonzalez,Arevalo Gonzalez,79,mu_acevedo
par_arias,Arias,80,mu_libertador_mer
par_aricagua_ari,Aricagua,81,mu_aricagua
par_aricagua_mon,Aricagua,82,mu_montes
par_aripao,Aripao,83,mu_sucre_bol
par_arismendi,Arismendi,84,mu_arismendi_bar
par_aristidesbastidas,Aristides Bastidas,85,mu_aristidesbastidas
par_aristidescalvani,Aristides Calvani,86,mu_cabimas
par_arnoldogabaldon_can,Arnoldo Gabaldon,87,mu_candelaria
par_arnoldogabaldon,Arnoldo Gabaldon,88,mu_juanvicentecampoelias
par_ascensionfarreras,Ascension Farreras,89,mu_cedeno_bol
par_atapirire,Atapirire,90,mu_franciscodemiranda_anz
par_augustomijares,Augusto Mijares,91,mu_zamora_ara
